support_case_id,support_case_created_ts_utc,support_case_created_date_utc,support_case_language,support_case_vertical,is_support_case_escalated_to_agent,support_case_state,support_case_city_id,support_case_order_id,support_case_user_persona
385859819,2024-06-01T19:31:26Z,2024-06-01,en,vertical_2,TRUE,closed,325,null,persona_3
385874754,2024-06-01T19:56:52Z,2024-06-01,en-US,vertical_5,FALSE,draft,324,null,persona_11
385780610,2024-06-01T17:17:30Z,2024-06-01,lt,vertical_4,FALSE,closed,13,1610921416,persona_6
385683420,2024-06-01T14:30:05Z,2024-06-01,az-AZ,vertical_5,FALSE,draft,335,null,persona_11
385587409,2024-06-01T11:26:55Z,2024-06-01,ru-ru,vertical_5,FALSE,draft,307,null,persona_11
385757536,2024-06-01T16:38:28Z,2024-06-01,ru-ru,vertical_5,FALSE,draft,335,null,persona_11
385783086,2024-06-01T17:21:34Z,2024-06-01,ru,vertical_2,TRUE,closed,499,175913649,persona_8
385955189,2024-06-01T23:15:27Z,2024-06-01,de,vertical_4,FALSE,closed,329,1177866973,persona_13
385536627,2024-06-01T09:35:14Z,2024-06-01,pt,vertical_5,FALSE,draft,816,null,persona_11
385941788,2024-06-01T22:32:23Z,2024-06-01,en-GB,vertical_5,FALSE,draft,9,217239033,persona_11
385965569,2024-06-01T23:52:55Z,2024-06-01,en,vertical_4,TRUE,closed,25,514957494,persona_6
385588279,2024-06-01T11:28:40Z,2024-06-01,en-US,vertical_5,FALSE,draft,324,null,persona_11
385705777,2024-06-01T15:10:24Z,2024-06-01,de,vertical_4,TRUE,closed,374,1177534481,persona_6
385676446,2024-06-01T14:17:27Z,2024-06-01,uk,vertical_2,TRUE,closed,499,175864731,persona_3
385906202,2024-06-01T20:59:27Z,2024-06-01,en-US,vertical_5,FALSE,draft,324,null,persona_11
385940590,2024-06-01T22:28:57Z,2024-06-01,ru-ru,vertical_5,FALSE,draft,351,null,persona_11
385528916,2024-06-01T09:16:20Z,2024-06-01,az-az,vertical_5,FALSE,draft,335,null,persona_11
385933513,2024-06-01T22:08:15Z,2024-06-01,fr-fr,vertical_5,FALSE,draft,638,null,persona_11
385668500,2024-06-01T14:03:10Z,2024-06-01,ro,vertical_5,FALSE,draft,719,null,persona_11
385960300,2024-06-01T23:33:16Z,2024-06-01,lt-LT,vertical_5,FALSE,draft,9,null,persona_11
385603405,2024-06-01T11:59:46Z,2024-06-01,en-us,vertical_5,FALSE,draft,55,null,persona_11
385604806,2024-06-01T12:02:31Z,2024-06-01,es-ES,vertical_5,FALSE,draft,862,null,persona_11
385548437,2024-06-01T10:04:06Z,2024-06-01,ka,vertical_5,FALSE,draft,15,null,persona_11
385724829,2024-06-01T15:43:56Z,2024-06-01,ru-RU,vertical_5,FALSE,draft,1,null,persona_11
385772027,2024-06-01T17:02:57Z,2024-06-01,ru-ru,vertical_5,FALSE,draft,499,1076453657,persona_11
385597936,2024-06-01T11:48:36Z,2024-06-01,es-es,vertical_5,FALSE,draft,862,null,persona_11
385448214,2024-06-01T04:34:45Z,2024-06-01,en-us,vertical_5,FALSE,draft,54,null,persona_11
385633474,2024-06-01T12:57:54Z,2024-06-01,en,vertical_2,TRUE,closed,3,175840753,persona_3
385571046,2024-06-01T10:53:46Z,2024-06-01,en-us,vertical_5,FALSE,draft,54,null,persona_11
385609176,2024-06-01T12:10:54Z,2024-06-01,th-th,vertical_5,FALSE,draft,881,null,persona_11
385621730,2024-06-01T12:34:56Z,2024-06-01,az-az,vertical_5,FALSE,draft,335,null,persona_11
385942810,2024-06-01T22:35:29Z,2024-06-01,el-gr,vertical_5,FALSE,draft,442,null,persona_11
385726658,2024-06-01T15:47:08Z,2024-06-01,en-US,vertical_5,FALSE,draft,137,null,persona_11
385529072,2024-06-01T09:16:45Z,2024-06-01,fr,vertical_5,FALSE,draft,18,null,persona_11
385486498,2024-06-01T07:17:13Z,2024-06-01,ar-sa,vertical_5,FALSE,draft,371,null,persona_11
385559534,2024-06-01T10:28:55Z,2024-06-01,lv-LV,vertical_5,FALSE,draft,3,null,persona_11
385794864,2024-06-01T17:41:19Z,2024-06-01,az-az,vertical_5,FALSE,draft,335,null,persona_11
385932603,2024-06-01T22:05:51Z,2024-06-01,ar-sa,vertical_5,FALSE,draft,371,null,persona_11
385519753,2024-06-01T08:53:16Z,2024-06-01,ru,vertical_5,FALSE,draft,1,null,persona_11
385833235,2024-06-01T18:46:40Z,2024-06-01,tr,vertical_4,FALSE,closed,335,null,persona_6
385632183,2024-06-01T12:55:16Z,2024-06-01,lv,vertical_5,FALSE,draft,3,null,persona_11
385478023,2024-06-01T06:47:56Z,2024-06-01,nl,vertical_5,FALSE,draft,169,1177313008,persona_11
385788428,2024-06-01T17:30:30Z,2024-06-01,pl-PL,vertical_5,FALSE,draft,307,null,persona_11
385776382,2024-06-01T17:10:17Z,2024-06-01,en,vertical_2,TRUE,closed,325,175871475,persona_8
385672741,2024-06-01T14:10:38Z,2024-06-01,uk-UA,vertical_5,FALSE,draft,496,null,persona_11
385556454,2024-06-01T10:22:17Z,2024-06-01,th-th,vertical_5,FALSE,draft,881,1741898481,persona_11
385883852,2024-06-01T20:13:26Z,2024-06-01,pt-pt,vertical_5,FALSE,draft,null,null,persona_11
385485270,2024-06-01T07:13:07Z,2024-06-01,th-th,vertical_5,FALSE,draft,881,null,persona_11
385464811,2024-06-01T05:55:44Z,2024-06-01,en-US,vertical_5,FALSE,draft,320,null,persona_11
385644618,2024-06-01T13:18:42Z,2024-06-01,en-gb,vertical_5,FALSE,draft,137,null,persona_11
385606589,2024-06-01T12:06:00Z,2024-06-01,en-US,vertical_5,FALSE,draft,137,null,persona_11
385476245,2024-06-01T06:41:15Z,2024-06-01,ar-sa,vertical_5,FALSE,draft,814,null,persona_11
385419771,2024-06-01T01:40:07Z,2024-06-01,ar-sa,vertical_5,FALSE,draft,662,null,persona_11
385416063,2024-06-01T01:18:53Z,2024-06-01,en-US,vertical_5,FALSE,draft,386,null,persona_11
385712648,2024-06-01T15:22:53Z,2024-06-01,pt-PT,vertical_5,FALSE,draft,386,null,persona_11
385949898,2024-06-01T22:58:05Z,2024-06-01,pt,vertical_2,TRUE,closed,386,175962156,persona_12
385611608,2024-06-01T12:15:23Z,2024-06-01,ru-RU,vertical_5,FALSE,draft,3,null,persona_11
385598547,2024-06-01T11:49:53Z,2024-06-01,de,vertical_5,FALSE,draft,329,null,persona_11
385671098,2024-06-01T14:07:41Z,2024-06-01,en-us,vertical_5,FALSE,draft,371,null,persona_11
385436266,2024-06-01T03:21:16Z,2024-06-01,az-az,vertical_5,FALSE,draft,335,null,persona_11
385554319,2024-06-01T10:17:45Z,2024-06-01,cs,vertical_5,FALSE,draft,271,null,persona_11
385643344,2024-06-01T13:16:19Z,2024-06-01,sk-SK,vertical_5,FALSE,draft,474,null,persona_11
385446476,2024-06-01T04:24:46Z,2024-06-01,ka-ge,vertical_5,FALSE,draft,15,null,persona_11
385789453,2024-06-01T17:32:16Z,2024-06-01,en,vertical_5,FALSE,draft,54,null,persona_11
385802883,2024-06-01T17:54:44Z,2024-06-01,ro-RO,vertical_5,FALSE,draft,325,null,persona_11
385603999,2024-06-01T12:00:56Z,2024-06-01,pl-pl,vertical_5,FALSE,draft,352,1610187301,persona_11
385827867,2024-06-01T18:37:37Z,2024-06-01,tr,vertical_4,FALSE,closed,335,1741633330,persona_6
385928871,2024-06-01T21:55:37Z,2024-06-01,pt,vertical_5,FALSE,draft,834,null,persona_11
385760292,2024-06-01T16:43:15Z,2024-06-01,ar-eg,vertical_5,FALSE,draft,353,null,persona_11
385769263,2024-06-01T16:58:21Z,2024-06-01,en-GB,vertical_5,FALSE,draft,325,null,persona_11
385634196,2024-06-01T12:59:13Z,2024-06-01,en-GB,vertical_5,FALSE,draft,376,null,persona_11
385457608,2024-06-01T05:22:56Z,2024-06-01,pl-pl,vertical_5,FALSE,draft,557,null,persona_11
385430378,2024-06-01T02:43:37Z,2024-06-01,lv,vertical_4,FALSE,closed,3,1610225875,persona_6
385648823,2024-06-01T13:26:36Z,2024-06-01,en-GB,vertical_5,FALSE,draft,25,null,persona_11
385896017,2024-06-01T20:37:32Z,2024-06-01,en,vertical_4,TRUE,closed,54,1678311505,persona_13
385584808,2024-06-01T11:21:30Z,2024-06-01,cs-CZ,vertical_5,FALSE,draft,427,null,persona_11
385444528,2024-06-01T04:13:22Z,2024-06-01,es,vertical_4,FALSE,closed,150,1177281635,persona_13
385917678,2024-06-01T21:26:34Z,2024-06-01,en-GB,vertical_5,FALSE,draft,813,null,persona_11
385657371,2024-06-01T13:42:37Z,2024-06-01,hu,vertical_4,TRUE,closed,7,null,persona_6
385945030,2024-06-01T22:42:15Z,2024-06-01,ro,vertical_4,FALSE,closed,325,1611346714,persona_6
385712883,2024-06-01T15:23:18Z,2024-06-01,az-az,vertical_5,FALSE,draft,335,null,persona_11
385829040,2024-06-01T18:39:36Z,2024-06-01,az,vertical_5,FALSE,draft,335,null,persona_11
385436168,2024-06-01T03:20:29Z,2024-06-01,ar-eg,vertical_5,FALSE,draft,1289,null,persona_11
385516228,2024-06-01T08:43:17Z,2024-06-01,es-es,vertical_5,FALSE,draft,813,null,persona_11
385813360,2024-06-01T18:12:44Z,2024-06-01,ru-RU,vertical_5,FALSE,draft,158,null,persona_11
385739525,2024-06-01T16:09:01Z,2024-06-01,cs-cz,vertical_5,FALSE,draft,271,null,persona_11
385688544,2024-06-01T14:39:13Z,2024-06-01,ru,vertical_5,FALSE,draft,3,210504844,persona_11
385402494,2024-06-01T00:10:35Z,2024-06-01,pl,vertical_5,FALSE,draft,565,1610139712,persona_11
385406642,2024-06-01T00:31:06Z,2024-06-01,ru,vertical_5,FALSE,draft,307,null,persona_11
385556071,2024-06-01T10:21:29Z,2024-06-01,es-419,vertical_5,FALSE,draft,862,null,persona_11
385770899,2024-06-01T17:01:03Z,2024-06-01,ru-ru,vertical_5,FALSE,draft,335,1742246403,persona_11
385637175,2024-06-01T13:04:38Z,2024-06-01,en-GB,vertical_5,FALSE,draft,753,null,persona_11
385473427,2024-06-01T06:30:13Z,2024-06-01,ar-sa,vertical_5,FALSE,draft,371,null,persona_11
385427484,2024-06-01T02:25:13Z,2024-06-01,es-419,vertical_5,FALSE,draft,1013,null,persona_11
385920972,2024-06-01T21:35:12Z,2024-06-01,en,vertical_4,TRUE,closed,25,514971979,persona_13
385520343,2024-06-01T08:54:52Z,2024-06-01,en-us,vertical_5,FALSE,draft,54,null,persona_11
385721800,2024-06-01T15:38:42Z,2024-06-01,no,vertical_5,FALSE,draft,74,null,persona_11
385642965,2024-06-01T13:15:41Z,2024-06-01,et,vertical_2,FALSE,closed,1,175855863,persona_8
385674008,2024-06-01T14:12:58Z,2024-06-01,en-us,vertical_5,FALSE,draft,375,null,persona_11
385560125,2024-06-01T10:30:12Z,2024-06-01,ka-ge,vertical_5,FALSE,draft,15,null,persona_11
385845825,2024-06-01T19:07:25Z,2024-06-01,fr-fr,vertical_4,TRUE,closed,396,1177681371,persona_6
385951145,2024-06-01T23:02:05Z,2024-06-01,es-419,vertical_5,FALSE,draft,862,null,persona_11
385964448,2024-06-01T23:48:34Z,2024-06-01,ro-ro,vertical_5,FALSE,draft,325,1611072048,persona_11
385690270,2024-06-01T14:42:19Z,2024-06-01,ro-ro,vertical_5,FALSE,draft,325,null,persona_11
385919657,2024-06-01T21:31:45Z,2024-06-01,hr-hr,vertical_5,FALSE,draft,334,null,persona_11
385719177,2024-06-01T15:34:18Z,2024-06-01,ru-RU,vertical_5,FALSE,draft,335,null,persona_11
385961100,2024-06-01T23:36:02Z,2024-06-01,ar-sa,vertical_5,FALSE,draft,662,null,persona_11
385747195,2024-06-01T16:21:40Z,2024-06-01,en,vertical_5,FALSE,draft,54,null,persona_11
385849565,2024-06-01T19:13:42Z,2024-06-01,fr,vertical_5,FALSE,draft,18,null,persona_11
385819962,2024-06-01T18:24:01Z,2024-06-01,cs-CZ,vertical_5,FALSE,draft,426,null,persona_11
385522265,2024-06-01T08:59:42Z,2024-06-01,az-az,vertical_5,FALSE,draft,335,null,persona_11
385953518,2024-06-01T23:10:09Z,2024-06-01,ar,vertical_4,TRUE,closed,1596,null,persona_6
385717350,2024-06-01T15:31:08Z,2024-06-01,en-gb,vertical_5,FALSE,draft,376,null,persona_11
385482830,2024-06-01T07:05:23Z,2024-06-01,en-gb,vertical_5,FALSE,draft,null,null,persona_11
385778588,2024-06-01T17:14:08Z,2024-06-01,en-GB,vertical_5,FALSE,draft,25,null,persona_11
385886923,2024-06-01T20:19:18Z,2024-06-01,fr-fr,vertical_5,FALSE,draft,18,null,persona_11
385551291,2024-06-01T10:10:55Z,2024-06-01,pt-PT,vertical_5,FALSE,draft,386,null,persona_11
385479107,2024-06-01T06:51:58Z,2024-06-01,en-us,vertical_5,FALSE,draft,196,null,persona_11
385592127,2024-06-01T11:36:37Z,2024-06-01,ru,vertical_2,TRUE,closed,158,175832259,persona_8
385484960,2024-06-01T07:12:05Z,2024-06-01,en,vertical_4,TRUE,closed,675,1677630848,persona_6
385756286,2024-06-01T16:36:24Z,2024-06-01,en-GB,vertical_5,FALSE,draft,1,null,persona_11
385819790,2024-06-01T18:23:43Z,2024-06-01,az-az,vertical_5,FALSE,draft,335,null,persona_11
385571224,2024-06-01T10:54:08Z,2024-06-01,sv-se,vertical_5,FALSE,draft,null,null,persona_11
385407538,2024-06-01T00:35:37Z,2024-06-01,zh,vertical_4,FALSE,closed,881,null,persona_13
385646985,2024-06-01T13:23:12Z,2024-06-01,en,vertical_4,TRUE,closed,320,1541388098,persona_6
385467580,2024-06-01T06:07:14Z,2024-06-01,en-us,vertical_5,FALSE,draft,375,null,persona_11
385667313,2024-06-01T14:00:54Z,2024-06-01,th-th,vertical_5,FALSE,draft,1004,null,persona_11
385715475,2024-06-01T15:27:43Z,2024-06-01,az-az,vertical_5,FALSE,draft,335,null,persona_11
385904366,2024-06-01T20:55:25Z,2024-06-01,ru,vertical_5,FALSE,draft,3,null,persona_11
385443301,2024-06-01T04:05:46Z,2024-06-01,en-us,vertical_5,FALSE,draft,11,null,persona_11
385552516,2024-06-01T10:13:41Z,2024-06-01,fr,vertical_5,FALSE,draft,394,null,persona_11
385760673,2024-06-01T16:43:52Z,2024-06-01,en-us,vertical_5,FALSE,draft,448,null,persona_11
385405573,2024-06-01T00:25:46Z,2024-06-01,en-US,vertical_5,FALSE,draft,324,null,persona_11
385485245,2024-06-01T07:13:02Z,2024-06-01,ro-ro,vertical_5,FALSE,draft,1058,1610347098,persona_11
385574886,2024-06-01T11:01:48Z,2024-06-01,ru-RU,vertical_5,FALSE,draft,335,null,persona_11
385926670,2024-06-01T21:49:57Z,2024-06-01,ro,vertical_5,FALSE,draft,1212,null,persona_11
385451840,2024-06-01T04:54:20Z,2024-06-01,th,vertical_4,TRUE,closed,881,1741830882,persona_6
385729329,2024-06-01T15:51:53Z,2024-06-01,en-us,vertical_5,FALSE,draft,55,null,persona_11
385793433,2024-06-01T17:38:58Z,2024-06-01,ro-RO,vertical_5,FALSE,draft,325,null,persona_11
385782742,2024-06-01T17:20:58Z,2024-06-01,en,vertical_5,FALSE,draft,1600,null,persona_11
385712556,2024-06-01T15:22:43Z,2024-06-01,ru-ru,vertical_5,FALSE,draft,307,null,persona_11
385944259,2024-06-01T22:39:53Z,2024-06-01,fr,vertical_5,FALSE,draft,307,null,persona_11
385443119,2024-06-01T04:04:45Z,2024-06-01,ru-ru,vertical_5,FALSE,draft,158,null,persona_11
385857938,2024-06-01T19:28:15Z,2024-06-01,en-us,vertical_5,FALSE,draft,343,null,persona_11
385718792,2024-06-01T15:33:40Z,2024-06-01,en-US,vertical_5,FALSE,draft,325,null,persona_11
385852720,2024-06-01T19:19:13Z,2024-06-01,ru-ru,vertical_5,FALSE,draft,307,null,persona_11
385802548,2024-06-01T17:54:13Z,2024-06-01,uk,vertical_4,FALSE,closed,1084,1076463433,persona_6
385472340,2024-06-01T06:25:53Z,2024-06-01,th-th,vertical_5,FALSE,draft,1004,null,persona_11
385511625,2024-06-01T08:31:00Z,2024-06-01,lt-LT,vertical_5,FALSE,draft,455,null,persona_11
385954078,2024-06-01T23:11:47Z,2024-06-01,fr,vertical_4,FALSE,closed,396,1177858406,persona_6
385683321,2024-06-01T14:29:54Z,2024-06-01,ro,vertical_4,FALSE,closed,803,null,persona_6
385565575,2024-06-01T10:42:04Z,2024-06-01,th-th,vertical_5,FALSE,draft,881,null,persona_11
385941407,2024-06-01T22:31:12Z,2024-06-01,ro,vertical_5,FALSE,draft,462,null,persona_11
385661949,2024-06-01T13:50:59Z,2024-06-01,en-US,vertical_5,FALSE,draft,9,null,persona_11
385902813,2024-06-01T20:51:55Z,2024-06-01,en-US,vertical_5,FALSE,draft,335,null,persona_11
385566915,2024-06-01T10:45:05Z,2024-06-01,en-US,vertical_5,FALSE,draft,null,null,persona_11
385914409,2024-06-01T21:18:31Z,2024-06-01,en,vertical_4,TRUE,closed,928,1434750711,persona_6
385854109,2024-06-01T19:21:34Z,2024-06-01,ru,vertical_5,FALSE,draft,1131,null,persona_11
385601340,2024-06-01T11:55:27Z,2024-06-01,uk-UA,vertical_5,FALSE,draft,496,null,persona_11
385713938,2024-06-01T15:25:07Z,2024-06-01,es-419,vertical_5,FALSE,draft,862,null,persona_11
385523463,2024-06-01T09:02:42Z,2024-06-01,th,vertical_4,FALSE,closed,881,1742004427,persona_6
385426183,2024-06-01T02:17:21Z,2024-06-01,en,vertical_4,FALSE,closed,386,1177244556,persona_13
385962574,2024-06-01T23:41:27Z,2024-06-01,lt-LT,vertical_5,FALSE,draft,251,null,persona_11
385838869,2024-06-01T18:55:42Z,2024-06-01,ar-SA,vertical_5,FALSE,draft,1004,null,persona_11
385502617,2024-06-01T08:06:02Z,2024-06-01,pt-pt,vertical_5,FALSE,draft,1649,null,persona_11
385900833,2024-06-01T20:47:38Z,2024-06-01,ro-RO,vertical_5,FALSE,draft,297,null,persona_11
385476842,2024-06-01T06:43:30Z,2024-06-01,th-th,vertical_5,FALSE,draft,881,null,persona_11
385563666,2024-06-01T10:37:54Z,2024-06-01,en,vertical_5,FALSE,draft,881,null,persona_11
385823341,2024-06-01T18:29:56Z,2024-06-01,ro,vertical_4,FALSE,closed,325,1610838212,persona_6
385726677,2024-06-01T15:47:10Z,2024-06-01,ru-ru,vertical_5,FALSE,draft,335,null,persona_11
385865263,2024-06-01T19:40:37Z,2024-06-01,tr,vertical_4,FALSE,closed,335,1742088852,persona_6
385733107,2024-06-01T15:58:25Z,2024-06-01,tr-tr,vertical_5,FALSE,draft,335,null,persona_11
385586424,2024-06-01T11:24:56Z,2024-06-01,ru-RU,vertical_5,FALSE,draft,1,null,persona_11
385762619,2024-06-01T16:47:08Z,2024-06-01,en-GB,vertical_5,FALSE,draft,402,null,persona_11
385628688,2024-06-01T12:48:31Z,2024-06-01,en-US,vertical_5,FALSE,draft,271,null,persona_11
385598303,2024-06-01T11:49:22Z,2024-06-01,pt-PT,vertical_5,FALSE,draft,386,null,persona_11
385964046,2024-06-01T23:47:04Z,2024-06-01,ru-RU,vertical_5,FALSE,draft,271,175853143,persona_11
385585272,2024-06-01T11:22:29Z,2024-06-01,es-mx,vertical_5,FALSE,draft,862,null,persona_11
385582711,2024-06-01T11:17:15Z,2024-06-01,lt-LT,vertical_5,FALSE,draft,9,null,persona_11
385443433,2024-06-01T04:06:36Z,2024-06-01,fr,vertical_4,FALSE,closed,18,1177283198,persona_13
385568286,2024-06-01T10:48:03Z,2024-06-01,tr,vertical_5,FALSE,draft,335,null,persona_11
385578416,2024-06-01T11:08:49Z,2024-06-01,ru-RU,vertical_5,FALSE,draft,442,null,persona_11
385667472,2024-06-01T14:01:14Z,2024-06-01,en-US,vertical_5,FALSE,draft,250,null,persona_11
385719855,2024-06-01T15:35:20Z,2024-06-01,ru-RU,vertical_5,FALSE,draft,335,null,persona_11
385880575,2024-06-01T20:07:18Z,2024-06-01,es-419,vertical_5,FALSE,draft,862,null,persona_11
385894594,2024-06-01T20:34:33Z,2024-06-01,az,vertical_4,TRUE,closed,423,null,persona_6
385893142,2024-06-01T20:31:35Z,2024-06-01,ro-ro,vertical_5,FALSE,draft,462,1611170204,persona_11
385608726,2024-06-01T12:10:05Z,2024-06-01,en-GB,vertical_5,FALSE,draft,54,null,persona_11
385742993,2024-06-01T16:14:42Z,2024-06-01,en-US,vertical_5,FALSE,draft,442,null,persona_11
385539481,2024-06-01T09:42:27Z,2024-06-01,pl,vertical_4,TRUE,closed,558,1610330354,persona_6
385563582,2024-06-01T10:37:43Z,2024-06-01,uk-UA,vertical_5,FALSE,draft,158,null,persona_11
385889637,2024-06-01T20:24:36Z,2024-06-01,sv,vertical_4,TRUE,closed,11,1611132582,persona_13
385497224,2024-06-01T07:49:58Z,2024-06-01,th-th,vertical_5,FALSE,draft,881,null,persona_11
385914591,2024-06-01T21:18:58Z,2024-06-01,fr,vertical_5,FALSE,draft,18,1177739692,persona_11
385535454,2024-06-01T09:32:12Z,2024-06-01,en-US,vertical_5,FALSE,draft,9,null,persona_11
385689585,2024-06-01T14:41:08Z,2024-06-01,az-az,vertical_5,FALSE,draft,335,null,persona_11
385956720,2024-06-01T23:20:25Z,2024-06-01,en-us,vertical_5,FALSE,draft,242,null,persona_11
385655658,2024-06-01T13:39:24Z,2024-06-01,es-419,vertical_5,FALSE,draft,259,null,persona_11
385687310,2024-06-01T14:37:01Z,2024-06-01,en,vertical_2,TRUE,closed,307,null,persona_8
385726694,2024-06-01T15:47:12Z,2024-06-01,ar-sa,vertical_5,FALSE,draft,371,null,persona_11
385540053,2024-06-01T09:43:53Z,2024-06-01,en-GB,vertical_5,FALSE,draft,409,null,persona_11
385645664,2024-06-01T13:20:45Z,2024-06-01,ka-ge,vertical_5,FALSE,draft,15,null,persona_11
385740019,2024-06-01T16:09:47Z,2024-06-01,tr,vertical_5,FALSE,draft,15,null,persona_11
385876386,2024-06-01T19:59:44Z,2024-06-01,en-US,vertical_5,FALSE,draft,386,175936854,persona_11
385844594,2024-06-01T19:05:21Z,2024-06-01,en,vertical_4,TRUE,closed,762,null,persona_6
385551606,2024-06-01T10:11:40Z,2024-06-01,pt-PT,vertical_5,FALSE,draft,386,null,persona_11
385957889,2024-06-01T23:24:28Z,2024-06-01,ro-RO,vertical_5,FALSE,draft,325,null,persona_11
385530641,2024-06-01T09:20:23Z,2024-06-01,pl-pl,vertical_5,FALSE,draft,352,null,persona_11
385469975,2024-06-01T06:16:41Z,2024-06-01,pl,vertical_5,FALSE,draft,464,null,persona_11
385847494,2024-06-01T19:10:13Z,2024-06-01,th,vertical_4,FALSE,closed,881,1742172907,persona_6
385869837,2024-06-01T19:48:24Z,2024-06-01,en,vertical_5,FALSE,draft,18,null,persona_11
385851648,2024-06-01T19:17:16Z,2024-06-01,ro-RO,vertical_5,FALSE,draft,325,175925449,persona_11
385581744,2024-06-01T11:15:26Z,2024-06-01,ru-RU,vertical_5,FALSE,draft,158,null,persona_11
385417912,2024-06-01T01:29:29Z,2024-06-01,en-us,vertical_5,FALSE,draft,55,null,persona_11
385755610,2024-06-01T16:35:17Z,2024-06-01,uk,vertical_5,FALSE,draft,158,null,persona_11
385630239,2024-06-01T12:51:35Z,2024-06-01,az-AZ,vertical_5,FALSE,draft,335,null,persona_11
385744016,2024-06-01T16:16:19Z,2024-06-01,en-gb,vertical_5,FALSE,draft,324,null,persona_11
385462421,2024-06-01T05:44:58Z,2024-06-01,th-th,vertical_5,FALSE,draft,881,null,persona_11
385729374,2024-06-01T15:51:59Z,2024-06-01,en-GB,vertical_5,FALSE,draft,137,null,persona_11
385791442,2024-06-01T17:35:31Z,2024-06-01,en-us,vertical_5,FALSE,draft,375,null,persona_11
385649403,2024-06-01T13:27:38Z,2024-06-01,en-GB,vertical_5,FALSE,draft,881,null,persona_11
385915623,2024-06-01T21:21:27Z,2024-06-01,ru-RU,vertical_5,FALSE,draft,434,null,persona_11
385897553,2024-06-01T20:40:46Z,2024-06-01,en,vertical_2,FALSE,closed,297,175952116,persona_8
385479389,2024-06-01T06:52:57Z,2024-06-01,en-GB,vertical_5,FALSE,draft,242,null,persona_11
385919512,2024-06-01T21:31:20Z,2024-06-01,en,vertical_3,FALSE,draft,329,null,persona_13
385851246,2024-06-01T19:16:36Z,2024-06-01,pt,vertical_4,FALSE,closed,386,1177708354,persona_13
385453658,2024-06-01T05:03:42Z,2024-06-01,az,vertical_4,FALSE,closed,335,1741671791,persona_6
385670710,2024-06-01T14:07:01Z,2024-06-01,ru-RU,vertical_5,FALSE,draft,15,null,persona_11
385634063,2024-06-01T12:58:58Z,2024-06-01,az,vertical_4,TRUE,closed,335,1742390533,persona_13
385510574,2024-06-01T08:28:09Z,2024-06-01,ro-RO,vertical_5,FALSE,draft,325,null,persona_11
385759950,2024-06-01T16:42:41Z,2024-06-01,en,vertical_5,FALSE,draft,271,null,persona_11
385541633,2024-06-01T09:47:54Z,2024-06-01,fr-fr,vertical_5,FALSE,draft,18,null,persona_11
385903618,2024-06-01T20:53:40Z,2024-06-01,en,vertical_5,FALSE,draft,307,null,persona_11
385921956,2024-06-01T21:37:54Z,2024-06-01,pl,vertical_5,FALSE,draft,570,1611254202,persona_11
385401061,2024-06-01T00:04:25Z,2024-06-01,ru,vertical_5,FALSE,draft,335,null,persona_11
385850992,2024-06-01T19:16:09Z,2024-06-01,ru-RU,vertical_5,FALSE,draft,158,null,persona_11
385503901,2024-06-01T08:09:49Z,2024-06-01,en-us,vertical_5,FALSE,draft,54,null,persona_11
385536519,2024-06-01T09:34:58Z,2024-06-01,en-GB,vertical_5,FALSE,draft,3,null,persona_11
